date,open,high,low,close,volume,rsi,Signal
2024-09-25T10:25:00+05:30,504,504.45,503.4,503.65,37030,39.89,Hold
2024-09-25T10:30:00+05:30,503.65,505.4,503.45,504.8,73597,47.06,Hold
2024-09-25T10:35:00+05:30,504.8,505.75,504.3,505.15,53888,49.05,Hold
2024-09-25T10:40:00+05:30,505.1,505.6,504.85,505,42020,48.21,Hold
2024-09-25T10:45:00+05:30,505.1,505.4,504.5,504.8,25875,47.06,Hold
2024-09-25T10:50:00+05:30,504.8,505.4,504.5,505,25194,48.39,Hold
2024-09-25T10:55:00+05:30,504.95,504.95,504.4,504.65,35914,46.2,Hold
2024-09-25T11:00:00+05:30,504.65,505,504.4,504.75,43702,46.94,Hold
2024-09-25T11:05:00+05:30,504.75,505,504.4,504.45,27427,44.95,Hold
2024-09-25T11:10:00+05:30,504.6,504.95,504.35,504.7,21325,46.97,Hold
2024-09-25T11:15:00+05:30,504.75,505,504.45,504.65,29249,46.6,Hold
2024-09-25T11:20:00+05:30,504.8,504.95,504.15,504.45,37724,45.08,Hold
2024-09-25T11:25:00+05:30,504.5,504.95,504.25,504.6,34843,46.49,Hold
2024-09-25T11:30:00+05:30,504.7,504.9,504.45,504.65,23341,46.98,Hold
2024-09-25T11:35:00+05:30,504.65,504.9,504.55,504.7,17377,47.49,Hold
2024-09-25T11:40:00+05:30,504.9,504.9,504.3,504.3,32663,43.82,Hold
2024-09-25T11:45:00+05:30,504.5,504.5,503.6,504,56849,41.24,Hold
2024-09-25T11:50:00+05:30,504,504.35,503.55,503.65,34499,38.39,Hold
2024-09-25T11:55:00+05:30,503.75,504,502.8,502.85,59058,32.83,Hold
2024-09-25T12:00:00+05:30,502.9,503.2,502.7,502.95,20024,34.11,Hold
2024-09-25T12:05:00+05:30,502.95,503.95,502.7,502.85,33737,33.43,Hold
2024-09-25T12:10:00+05:30,502.9,503.15,502.55,502.95,35820,34.84,Hold
2024-09-25T12:15:00+05:30,503,503.25,502.35,502.45,56937,31.26,Hold
2024-09-25T12:20:00+05:30,502.5,502.9,502.3,502.6,38311,33.47,Hold
2024-09-25T12:25:00+05:30,502.8,503.2,502.5,502.75,31978,35.7,Hold
2024-09-25T12:30:00+05:30,502.8,503.7,502.75,503.5,42144,45.52,Hold
2024-09-25T12:35:00+05:30,503.6,503.75,503.2,503.3,16846,43.6,Hold
2024-09-25T12:40:00+05:30,503.35,503.55,502.55,503.1,60409,41.72,Hold
2024-09-25T12:45:00+05:30,503.1,503.45,502.95,503,19194,40.77,Hold
2024-09-25T12:50:00+05:30,502.95,503.35,502.95,503.15,18669,42.87,Hold
2024-09-25T12:55:00+05:30,503.1,503.45,502.95,503.1,19808,42.33,Hold
2024-09-25T13:00:00+05:30,503.1,503.4,502.95,503.2,37794,43.85,Hold
2024-09-25T13:05:00+05:30,503.2,503.2,502.9,502.9,20427,40.41,Hold
2024-09-25T13:10:00+05:30,502.95,503,502.5,502.75,23905,38.77,Hold
2024-09-25T13:15:00+05:30,502.6,502.95,502.5,502.7,18098,38.21,Hold
2024-09-25T13:20:00+05:30,502.55,503,502.5,502.75,24899,39.15,Hold
2024-09-25T13:25:00+05:30,502.7,503.25,502.7,503.05,37201,44.6,Hold
2024-09-25T13:30:00+05:30,503.05,503.25,502.75,503.15,44751,46.33,Hold
2024-09-25T13:35:00+05:30,503.15,503.35,503,503.3,21180,48.9,Hold
2024-09-25T13:40:00+05:30,503.15,503.5,503.05,503.25,30781,48.07,Hold
2024-09-25T13:45:00+05:30,503.2,503.95,503.05,503.8,36933,56.74,Hold
2024-09-25T13:50:00+05:30,503.8,503.95,503.5,503.85,32310,57.43,Hold
2024-09-25T13:55:00+05:30,503.7,504,503.6,504,42993,59.53,Hold
2024-09-25T14:00:00+05:30,504,504.55,503.9,504.5,41444,65.62,Hold
2024-09-25T14:05:00+05:30,504.5,504.6,504.15,504.3,70080,61.63,Hold
2024-09-25T14:10:00+05:30,504.4,504.75,503.7,504.5,55077,63.99,Hold
2024-09-25T14:15:00+05:30,504.5,504.65,504.05,504.5,63228,63.99,Hold
2024-09-25T14:20:00+05:30,504.45,505.1,504.25,504.65,269772,65.82,Hold
2024-09-25T14:25:00+05:30,504.85,504.9,504.45,504.65,83665,65.82,Hold
2024-09-25T14:30:00+05:30,504.8,504.85,504.05,504.15,69950,55.01,Hold
2024-09-25T14:35:00+05:30,504.15,504.8,504.15,504.55,56507,60.59,Hold
2024-09-25T14:40:00+05:30,504.5,504.6,503.9,504,55625,51.19,Hold
2024-09-25T14:45:00+05:30,503.95,504.75,503.9,504.45,74217,57.06,Hold
2024-09-25T14:50:00+05:30,504.5,504.55,503.8,504.15,97865,52.53,Hold
2024-09-25T14:55:00+05:30,504.15,504.3,503.95,504.05,46831,51.07,Hold
2024-09-25T15:00:00+05:30,504.1,505.45,504.05,505.15,260767,63.17,Hold
2024-09-25T15:05:00+05:30,505.15,505.7,505.15,505.45,155496,65.66,Hold
2024-09-25T15:10:00+05:30,505.45,505.7,505.3,505.35,262734,64.1,Hold
2024-09-25T15:15:00+05:30,505.55,505.8,505.3,505.45,196920,65,Hold
2024-09-25T15:20:00+05:30,505.45,505.75,505.2,505.55,175316,65.91,Hold
2024-09-25T15:25:00+05:30,505.35,505.8,505,505.25,133873,60.78,Hold
