date,open,high,low,close,volume,rsi,Signal
2023-09-25T00:00:00+05:30,92.5,92.6,91.8,91.95,10885789,55.37,Hold
2023-09-26T00:00:00+05:30,92.2,92.8,91.9,92.0,8786944,55.5,Hold
2023-09-27T00:00:00+05:30,92.05,92.4,90.1,90.4,17576586,50.25,Hold
2023-09-28T00:00:00+05:30,90.8,91.4,89.5,89.8,17116633,48.4,Hold
2023-09-29T00:00:00+05:30,90.6,91.15,90.25,90.95,7353379,52.04,Hold
2023-10-03T00:00:00+05:30,91.4,91.4,89.8,90.0,12491467,48.97,Hold
2023-10-04T00:00:00+05:30,90.0,90.15,88.7,89.1,10554372,46.18,Hold
2023-10-05T00:00:00+05:30,90.45,90.75,89.2,89.65,9293183,48.12,Hold
2023-10-06T00:00:00+05:30,90.0,90.0,89.35,89.75,8500414,48.49,Hold
2023-10-09T00:00:00+05:30,88.45,88.6,87.0,87.45,10345543,41.31,Hold
2023-10-10T00:00:00+05:30,87.45,88.55,87.3,88.35,9460129,44.76,Hold
2023-10-11T00:00:00+05:30,89.0,90.25,88.65,89.7,12124613,49.54,Hold
2023-10-12T00:00:00+05:30,89.85,90.7,89.85,90.3,9922340,51.55,Hold
2023-10-13T00:00:00+05:30,90.3,91.25,90.05,90.85,12881848,53.38,Hold
2023-10-16T00:00:00+05:30,91.0,91.15,90.2,90.9,8631278,53.56,Hold
2023-10-17T00:00:00+05:30,91.0,92.3,90.75,91.85,13355267,56.82,Hold
2023-10-18T00:00:00+05:30,92.5,92.5,90.5,90.75,11466227,52.24,Hold
2023-10-19T00:00:00+05:30,90.15,90.9,90.1,90.65,6724121,51.84,Hold
2023-10-20T00:00:00+05:30,90.55,90.85,89.5,90.3,8772287,50.35,Hold
2023-10-23T00:00:00+05:30,90.3,90.3,87.65,87.95,9592121,41.72,Hold
2023-10-25T00:00:00+05:30,88.45,89.2,86.8,87.6,9057651,40.6,Hold
2023-10-26T00:00:00+05:30,87.55,87.8,85.5,86.2,10108394,36.4,Hold
2023-10-27T00:00:00+05:30,86.55,87.5,86.55,86.9,6454064,39.76,Hold
2023-10-30T00:00:00+05:30,87.45,88.6,86.75,88.25,10175983,45.7,Hold
2023-10-31T00:00:00+05:30,89.0,90.0,87.65,89.7,29025469,51.27,Hold
2023-11-01T00:00:00+05:30,92.0,93.0,90.45,92.45,54027867,59.7,Hold
2023-11-02T00:00:00+05:30,93.85,96.5,93.3,95.05,63995437,65.74,Hold
2023-11-03T00:00:00+05:30,96.5,96.75,95.4,95.9,34490201,67.46,Hold
2023-11-06T00:00:00+05:30,97.0,100.5,96.6,99.0,63500708,72.81,Sell
2023-11-07T00:00:00+05:30,100.0,104.3,98.75,104.05,79534919,78.9,Sell
2023-11-08T00:00:00+05:30,105.4,106.9,103.05,103.45,69412828,76.7,Sell
2023-11-09T00:00:00+05:30,104.1,104.5,102.5,102.95,32091128,74.83,Sell
2023-11-10T00:00:00+05:30,97.85,98.85,97.4,98.05,28403392,59.51,Hold
2023-11-12T00:00:00+05:30,98.05,98.9,98.05,98.35,6002882,60.05,Hold
2023-11-13T00:00:00+05:30,98.3,99.25,97.55,99.0,23502134,61.26,Hold
2023-11-15T00:00:00+05:30,100.0,102.0,99.15,101.7,35721107,65.86,Hold
2023-11-16T00:00:00+05:30,102.0,105.15,101.7,104.1,43421272,69.34,Hold
2023-11-17T00:00:00+05:30,105.0,106.3,101.5,102.7,50796419,65.16,Hold
2023-11-20T00:00:00+05:30,103.0,103.95,102.0,102.85,16980763,65.4,Hold
2023-11-21T00:00:00+05:30,103.0,103.2,100.85,101.05,20429383,60.05,Hold
2023-11-22T00:00:00+05:30,101.0,102.7,100.35,101.25,16652996,60.43,Hold
2023-11-23T00:00:00+05:30,102.0,104.2,100.75,103.8,18589035,65.09,Hold
2023-11-24T00:00:00+05:30,104.1,105.3,103.0,103.45,26009963,63.98,Hold
2023-11-28T00:00:00+05:30,104.7,108.6,104.1,108.2,61127565,71.18,Sell
2023-11-29T00:00:00+05:30,108.7,109.75,107.45,108.55,36828919,71.63,Sell
2023-11-30T00:00:00+05:30,108.55,112.5,107.1,111.75,46269884,75.41,Sell
2023-12-01T00:00:00+05:30,112.85,113.95,110.6,111.25,24131009,73.75,Sell
2023-12-04T00:00:00+05:30,114.5,118.15,113.1,115.9,50645500,78.48,Sell
2023-12-05T00:00:00+05:30,120.0,120.0,115.6,117.7,47272168,79.98,Sell
2023-12-06T00:00:00+05:30,118.8,119.95,117.4,119.3,31094949,81.24,Sell
2023-12-07T00:00:00+05:30,120.3,122.5,119.55,121.35,38173544,82.73,Sell
2023-12-08T00:00:00+05:30,122.15,122.45,117.35,118.8,22610433,74.76,Sell
2023-12-11T00:00:00+05:30,119.9,121.0,116.6,117.5,28917089,71.01,Sell
2023-12-12T00:00:00+05:30,118.0,118.9,116.9,117.55,15735665,71.07,Sell
2023-12-13T00:00:00+05:30,118.5,119.85,118.05,119.65,23660687,73.55,Sell
2023-12-14T00:00:00+05:30,120.5,120.5,119.35,120.1,20038925,74.06,Sell
2023-12-15T00:00:00+05:30,120.3,124.95,119.65,123.8,43200717,77.87,Sell
2023-12-18T00:00:00+05:30,124.45,125.8,123.2,124.35,19345644,78.38,Sell
2023-12-19T00:00:00+05:30,125.0,125.95,124.2,124.7,22074723,78.71,Sell
2023-12-20T00:00:00+05:30,125.6,126.4,119.0,120.05,27660494,64.43,Hold
2023-12-21T00:00:00+05:30,118.0,124.5,117.35,124.15,20805929,69.66,Hold
2023-12-22T00:00:00+05:30,124.25,125.0,122.1,123.7,12915880,68.47,Hold
2023-12-26T00:00:00+05:30,123.9,128.5,123.6,128.05,30770511,73.23,Sell
2023-12-27T00:00:00+05:30,128.4,128.9,125.45,126.6,16455934,69.47,Hold
2023-12-28T00:00:00+05:30,127.0,133.95,126.5,133.25,54672874,75.65,Sell
2023-12-29T00:00:00+05:30,129.7,132.05,128.3,129.85,30650133,68.06,Hold
2024-01-01T00:00:00+05:30,132.1,132.5,130.0,130.3,18629028,68.51,Hold
2024-01-02T00:00:00+05:30,131.0,131.45,128.6,130.55,17271309,68.77,Hold
2024-01-03T00:00:00+05:30,130.55,133.85,130.3,132.7,24221613,71.02,Sell
2024-01-04T00:00:00+05:30,132.0,132.0,128.8,131.2,23880980,67.38,Hold
2024-01-05T00:00:00+05:30,132.8,134.6,131.55,132.7,21903222,69.09,Hold
2024-01-08T00:00:00+05:30,134.0,136.1,132.25,132.65,26199907,68.96,Hold
2024-01-09T00:00:00+05:30,134.9,134.9,131.55,131.9,15051378,66.93,Hold
2024-01-10T00:00:00+05:30,130.95,131.0,128.5,130.55,17547639,63.33,Hold
2024-01-11T00:00:00+05:30,131.35,133.9,131.1,133.25,21653666,67.14,Hold
2024-01-12T00:00:00+05:30,133.45,135.85,132.75,135.3,24471509,69.71,Hold
2024-01-15T00:00:00+05:30,136.45,138.0,135.2,137.65,22824583,72.38,Sell
2024-01-16T00:00:00+05:30,138.25,144.35,137.5,143.6,54350562,77.74,Sell
2024-01-17T00:00:00+05:30,143.0,145.4,141.55,144.1,43031636,78.12,Sell
2024-01-18T00:00:00+05:30,143.8,145.65,139.9,144.5,26958686,78.44,Sell
2024-01-19T00:00:00+05:30,145.1,149.3,143.8,148.65,23970656,81.47,Sell
2024-01-20T00:00:00+05:30,149.9,150.4,147.6,148.05,16429974,79.73,Sell
2024-01-23T00:00:00+05:30,151.5,151.8,137.85,138.95,38167576,59.07,Hold
2024-01-24T00:00:00+05:30,138.95,145.25,138.05,143.45,40122151,64.03,Hold
2024-01-25T00:00:00+05:30,145.9,145.9,142.0,143.7,38252600,64.29,Hold
2024-01-29T00:00:00+05:30,143.7,148.4,143.5,146.7,28420760,67.33,Hold
2024-01-30T00:00:00+05:30,148.4,152.2,146.5,147.7,41378967,68.3,Hold
2024-01-31T00:00:00+05:30,147.8,150.1,146.1,146.95,27393172,66.7,Hold
2024-02-01T00:00:00+05:30,148.5,150.7,147.05,149.75,27883335,69.56,Hold
2024-02-02T00:00:00+05:30,151.9,166.8,151.05,162.9,94675914,78.79,Sell
2024-02-05T00:00:00+05:30,167.95,177.2,164.7,173.95,101043319,83.35,Sell
2024-02-06T00:00:00+05:30,176.55,186.0,171.35,184.5,97077698,86.37,Sell
2024-02-07T00:00:00+05:30,188.2,192.65,185.05,186.45,82890137,86.85,Sell
2024-02-08T00:00:00+05:30,187.9,196.8,186.75,192.4,83103687,88.2,Sell
2024-02-09T00:00:00+05:30,193.4,193.85,177.75,182.5,84137345,74.49,Sell
2024-02-12T00:00:00+05:30,182.5,184.35,173.15,175.4,54071070,66.51,Hold
2024-02-13T00:00:00+05:30,174.95,177.45,172.35,174.45,37121416,65.5,Hold
2024-02-14T00:00:00+05:30,173.0,184.35,170.9,183.55,52764452,70.18,Sell
2024-02-15T00:00:00+05:30,185.0,191.35,183.5,189.85,70678699,72.92,Sell
2024-02-16T00:00:00+05:30,190.0,194.1,186.15,187.0,54056644,69.79,Hold
2024-02-19T00:00:00+05:30,188.6,190.9,186.4,188.5,30664067,70.51,Sell
2024-02-20T00:00:00+05:30,187.5,189.7,183.8,188.75,34936800,70.63,Sell
2024-02-21T00:00:00+05:30,189.6,190.7,181.1,182.3,22131487,63.2,Hold
2024-02-22T00:00:00+05:30,181.5,181.5,175.4,179.7,39618423,60.44,Hold
2024-02-23T00:00:00+05:30,179.7,180.7,175.05,175.85,31342100,56.5,Hold
2024-02-26T00:00:00+05:30,175.9,178.8,172.55,177.5,36264939,57.77,Hold
2024-02-27T00:00:00+05:30,177.5,178.35,172.1,173.25,27603342,53.44,Hold
2024-02-28T00:00:00+05:30,172.5,173.45,166.7,167.4,35971734,48.1,Hold
2024-02-29T00:00:00+05:30,167.4,168.45,164.35,165.55,52797150,46.52,Hold
2024-03-01T00:00:00+05:30,167.95,171.8,167.4,169.4,33401242,50.19,Hold
2024-03-02T00:00:00+05:30,169.95,172.75,169.4,172.2,3151390,52.74,Hold
2024-03-04T00:00:00+05:30,172.2,176.45,170.5,175.25,28643745,55.41,Hold
2024-03-05T00:00:00+05:30,176.45,177.3,174.55,175.85,21719198,55.94,Hold
2024-03-06T00:00:00+05:30,176.2,178.2,172.1,177.35,37730619,57.3,Hold
2024-03-07T00:00:00+05:30,177.35,178.35,174.0,174.6,17880714,54.0,Hold
2024-03-11T00:00:00+05:30,173.95,177.5,172.1,174.25,22843402,53.58,Hold
2024-03-12T00:00:00+05:30,175.0,175.9,171.45,172.9,20208400,51.9,Hold
2024-03-13T00:00:00+05:30,173.0,173.9,161.75,163.35,26725350,41.87,Hold
2024-03-14T00:00:00+05:30,161.25,171.4,160.6,170.35,25912125,49.56,Hold
2024-03-15T00:00:00+05:30,166.0,168.7,153.6,161.0,108719847,41.64,Hold
2024-03-18T00:00:00+05:30,162.55,163.25,160.15,160.8,22670787,41.49,Hold
2024-03-19T00:00:00+05:30,158.9,158.9,154.25,155.25,50547948,37.39,Hold
2024-03-20T00:00:00+05:30,156.0,158.55,155.0,158.25,23956154,40.79,Hold
2024-03-21T00:00:00+05:30,161.0,164.75,159.8,164.5,26756447,47.23,Hold
2024-03-22T00:00:00+05:30,165.7,167.15,163.55,165.15,25141774,47.87,Hold
2024-03-26T00:00:00+05:30,164.35,168.75,163.55,167.45,21189137,50.15,Hold
2024-03-27T00:00:00+05:30,169.0,171.45,165.35,166.2,31466480,48.9,Hold
2024-03-28T00:00:00+05:30,166.75,169.5,166.7,167.75,17007401,50.55,Hold
2024-04-01T00:00:00+05:30,169.95,171.25,168.75,169.25,14548989,52.16,Hold
2024-04-02T00:00:00+05:30,169.4,174.5,169.3,174.2,29081495,57.13,Hold
