date,open,high,low,close,volume,rsi,Signal
2023-10-17T00:00:00+05:30,449.8,454.5,449.0,453.45,6936218,60.46,Sell
2023-10-18T00:00:00+05:30,454.25,458.2,451.0,451.65,6894947,58.31,Sell
2023-10-19T00:00:00+05:30,449.75,454.9,446.85,450.4,9465463,56.8,Sell
2023-10-20T00:00:00+05:30,445.0,449.0,437.35,438.3,13020371,44.73,Buy
2023-10-23T00:00:00+05:30,438.0,439.95,433.1,435.9,7275471,42.78,Buy
2023-10-25T00:00:00+05:30,436.9,438.0,427.05,432.7,10889221,40.27,Buy
2023-10-26T00:00:00+05:30,429.55,436.6,429.55,434.35,18801214,42.16,Buy
2023-10-27T00:00:00+05:30,434.35,436.8,432.2,433.75,13132487,41.64,Buy
2023-10-30T00:00:00+05:30,434.55,437.15,428.35,430.45,7618033,38.83,Buy
2023-10-31T00:00:00+05:30,430.0,433.35,427.9,428.4,8620154,37.16,Buy
2023-11-01T00:00:00+05:30,430.0,431.1,425.5,428.1,7990245,36.91,Buy
2023-11-02T00:00:00+05:30,430.05,432.7,428.65,431.15,8152031,41.25,Buy
2023-11-03T00:00:00+05:30,432.8,434.4,431.1,433.25,13802600,44.11,Buy
2023-11-06T00:00:00+05:30,433.5,436.8,432.55,435.35,7308229,46.89,Buy
2023-11-07T00:00:00+05:30,434.9,434.9,432.15,432.7,5124012,43.92,Buy
2023-11-08T00:00:00+05:30,433.15,437.5,432.3,436.95,6979849,49.45,Buy
2023-11-09T00:00:00+05:30,437.8,438.0,433.9,434.4,7785767,46.49,Buy
2023-11-10T00:00:00+05:30,434.4,438.0,432.5,436.55,4079205,49.25,Buy
2023-11-12T00:00:00+05:30,438.85,439.2,438.0,438.45,1181310,51.62,Sell
2023-11-13T00:00:00+05:30,438.4,438.4,435.0,436.0,3744754,48.47,Buy
2023-11-15T00:00:00+05:30,438.1,442.5,437.5,441.95,7436428,55.56,Sell
2023-11-16T00:00:00+05:30,441.95,444.5,437.6,438.65,10857863,51.34,Sell
2023-11-17T00:00:00+05:30,439.25,441.5,438.3,439.25,6655278,52.05,Sell
2023-11-20T00:00:00+05:30,439.85,440.3,434.5,436.8,4335388,48.9,Buy
2023-11-21T00:00:00+05:30,437.15,439.3,435.5,436.25,5997810,48.2,Buy
2023-11-22T00:00:00+05:30,437.0,440.4,434.8,439.7,4886687,52.8,Sell
2023-11-23T00:00:00+05:30,440.95,442.25,438.25,440.35,6366606,53.63,Sell
2023-11-24T00:00:00+05:30,441.0,442.25,436.85,437.8,6821878,49.9,Buy
2023-11-28T00:00:00+05:30,438.0,439.0,434.9,435.25,8745691,46.42,Buy
2023-11-29T00:00:00+05:30,436.0,438.5,434.15,437.2,13785216,49.33,Buy
2023-11-30T00:00:00+05:30,436.7,438.45,434.5,435.8,15127505,47.35,Buy
2023-12-01T00:00:00+05:30,437.9,450.95,437.4,449.8,19336856,63.27,Sell
2023-12-04T00:00:00+05:30,455.0,456.4,451.0,454.05,12800220,66.58,Sell
2023-12-05T00:00:00+05:30,455.0,457.8,450.1,451.75,12136292,63.26,Sell
2023-12-06T00:00:00+05:30,453.9,464.5,452.1,463.25,20417559,71.03,Sell
2023-12-07T00:00:00+05:30,464.75,464.8,457.4,458.1,11310918,64.46,Sell
2023-12-08T00:00:00+05:30,459.95,461.6,448.5,449.15,18667895,54.94,Sell
2023-12-11T00:00:00+05:30,451.5,453.6,449.3,452.45,6599973,57.43,Sell
2023-12-12T00:00:00+05:30,454.2,460.0,452.35,453.1,10158101,57.93,Sell
2023-12-13T00:00:00+05:30,456.3,458.85,453.1,455.65,11283868,59.9,Sell
2023-12-14T00:00:00+05:30,460.0,461.0,449.45,460.1,14370803,63.14,Sell
2023-12-15T00:00:00+05:30,461.9,462.95,455.0,458.2,15789845,60.87,Sell
2023-12-18T00:00:00+05:30,455.0,456.0,450.35,451.65,12027620,53.73,Sell
2023-12-19T00:00:00+05:30,453.35,458.0,452.05,456.1,10268755,57.39,Sell
2023-12-20T00:00:00+05:30,459.0,459.25,449.3,451.0,10367665,52.28,Sell
2023-12-21T00:00:00+05:30,449.0,453.75,444.45,451.45,11154625,52.68,Sell
2023-12-22T00:00:00+05:30,453.0,455.9,450.55,455.2,11026317,55.99,Sell
2023-12-26T00:00:00+05:30,456.05,458.9,454.7,456.45,5871301,57.07,Sell
2023-12-27T00:00:00+05:30,457.0,458.5,453.75,457.1,7543383,57.65,Sell
2023-12-28T00:00:00+05:30,457.2,464.7,456.1,464.1,20696101,63.4,Sell
2023-12-29T00:00:00+05:30,464.1,467.9,461.35,462.1,12888266,60.86,Sell
2024-01-01T00:00:00+05:30,463.5,469.95,462.65,468.05,9346277,65.31,Sell
2024-01-02T00:00:00+05:30,470.0,471.35,463.6,470.35,10519771,66.88,Sell
2024-01-03T00:00:00+05:30,470.25,480.7,469.35,477.25,24036012,71.1,Sell
2024-01-04T00:00:00+05:30,480.0,481.45,474.2,476.4,11786959,69.92,Sell
2024-01-05T00:00:00+05:30,479.4,479.4,472.0,473.95,9209405,66.49,Sell
2024-01-08T00:00:00+05:30,475.0,475.5,464.55,465.5,8003177,56.23,Sell
2024-01-09T00:00:00+05:30,467.5,469.95,463.65,464.55,5696780,55.2,Sell
2024-01-10T00:00:00+05:30,464.55,466.75,460.05,463.3,5896123,53.81,Sell
2024-01-11T00:00:00+05:30,464.1,466.55,461.1,462.65,6534775,53.05,Sell
2024-01-12T00:00:00+05:30,463.25,467.7,460.35,466.7,9354326,57.08,Sell
2024-01-15T00:00:00+05:30,470.0,470.5,466.1,467.6,6902156,57.94,Sell
2024-01-16T00:00:00+05:30,467.8,475.0,464.25,472.3,12066347,62.22,Sell
2024-01-17T00:00:00+05:30,471.4,477.0,465.2,466.6,11108698,54.93,Sell
2024-01-18T00:00:00+05:30,465.25,467.85,454.55,465.5,9143784,53.62,Sell
2024-01-19T00:00:00+05:30,468.55,473.0,466.4,471.5,12203322,59.3,Sell
2024-01-20T00:00:00+05:30,473.4,475.0,468.0,468.4,3296407,55.52,Sell
2024-01-23T00:00:00+05:30,473.75,473.75,456.4,459.3,8404513,46.2,Buy
2024-01-24T00:00:00+05:30,460.1,467.4,458.1,463.6,21626183,50.43,Sell
2024-01-25T00:00:00+05:30,463.55,464.95,452.1,455.65,19677700,43.6,Buy
2024-01-29T00:00:00+05:30,455.9,457.25,447.5,449.8,17869152,39.37,Buy
2024-01-30T00:00:00+05:30,447.0,453.7,437.4,438.05,43514448,32.55,Buy
2024-01-31T00:00:00+05:30,440.0,442.5,438.7,441.55,19882944,36.1,Buy
2024-02-01T00:00:00+05:30,442.0,447.75,439.3,442.9,19165409,37.47,Buy
2024-02-02T00:00:00+05:30,445.0,447.2,439.5,440.1,17156021,35.76,Buy
2024-02-05T00:00:00+05:30,442.0,443.65,436.55,438.05,12041897,34.52,Buy
2024-02-06T00:00:00+05:30,440.0,440.9,429.5,431.4,18764371,30.78,Buy
2024-02-07T00:00:00+05:30,435.0,435.0,430.8,431.8,12880824,31.26,Buy
2024-02-08T00:00:00+05:30,429.0,429.1,408.6,414.55,48183882,23.63,Buy
2024-02-09T00:00:00+05:30,410.1,424.2,408.6,415.5,32283965,24.72,Buy
2024-02-12T00:00:00+05:30,417.55,418.0,406.05,406.85,10906914,21.68,Buy
2024-02-13T00:00:00+05:30,406.9,410.8,403.3,406.75,15606705,21.65,Buy
2024-02-14T00:00:00+05:30,406.0,412.25,404.4,411.55,12150077,27.38,Buy
2024-02-15T00:00:00+05:30,413.0,414.55,403.15,403.9,20383983,24.32,Buy
2024-02-16T00:00:00+05:30,405.0,409.55,399.4,404.6,37518847,25.15,Buy
2024-02-19T00:00:00+05:30,405.0,412.75,404.6,409.25,16949793,30.55,Buy
2024-02-20T00:00:00+05:30,410.45,410.45,404.3,406.1,14084218,29.02,Buy
2024-02-21T00:00:00+05:30,407.0,410.1,401.3,403.35,19414653,27.72,Buy
2024-02-22T00:00:00+05:30,406.9,415.15,403.45,414.45,18604659,39.53,Buy
2024-02-23T00:00:00+05:30,415.9,415.9,410.5,411.4,11147636,37.7,Buy
2024-02-26T00:00:00+05:30,411.1,413.05,407.3,409.2,7982145,36.4,Buy
2024-02-27T00:00:00+05:30,410.0,412.75,408.55,411.15,7783743,38.43,Buy
2024-02-28T00:00:00+05:30,411.15,412.35,406.8,408.3,8617768,36.59,Buy
2024-02-29T00:00:00+05:30,409.0,411.05,404.5,406.3,14895144,35.31,Buy
2024-03-01T00:00:00+05:30,408.9,413.15,407.5,409.5,12395632,38.99,Buy
2024-03-02T00:00:00+05:30,411.0,412.8,410.1,412.05,977655,41.82,Buy
2024-03-04T00:00:00+05:30,412.25,412.95,408.45,409.1,6840352,39.53,Buy
2024-03-05T00:00:00+05:30,409.65,411.4,403.95,406.15,9733507,37.33,Buy
2024-03-06T00:00:00+05:30,406.5,409.95,400.7,407.85,11106855,39.42,Buy
2024-03-07T00:00:00+05:30,407.85,414.95,403.65,413.55,23020545,45.94,Buy
2024-03-11T00:00:00+05:30,416.8,418.3,408.0,409.4,17620081,42.37,Buy
2024-03-12T00:00:00+05:30,406.5,406.5,399.35,404.45,34882639,38.52,Buy
2024-03-13T00:00:00+05:30,435.0,438.0,421.15,422.45,101612428,54.65,Sell
2024-03-14T00:00:00+05:30,421.95,425.5,418.0,419.65,30764728,52.35,Sell
2024-03-15T00:00:00+05:30,417.2,428.55,415.25,419.1,73253754,51.89,Sell
2024-03-18T00:00:00+05:30,419.0,420.7,416.9,417.45,15933704,50.45,Sell
2024-03-19T00:00:00+05:30,418.0,419.55,408.7,409.55,20994563,44.14,Buy
2024-03-20T00:00:00+05:30,410.0,416.65,409.55,415.7,19609321,49.44,Buy
2024-03-21T00:00:00+05:30,419.0,422.0,416.2,421.25,19227982,53.71,Sell
2024-03-22T00:00:00+05:30,421.25,429.65,421.25,428.6,38861818,58.69,Sell
2024-03-26T00:00:00+05:30,425.55,429.2,425.55,427.65,10274145,57.82,Sell
2024-03-27T00:00:00+05:30,427.0,428.9,426.45,428.0,12227545,58.07,Sell
2024-03-28T00:00:00+05:30,428.0,433.25,427.0,428.35,27933211,58.33,Sell
2024-04-01T00:00:00+05:30,429.1,431.35,425.75,426.7,9382308,56.54,Sell
2024-04-02T00:00:00+05:30,428.7,428.7,424.6,425.85,8853678,55.6,Sell
2024-04-03T00:00:00+05:30,426.0,428.8,421.0,425.2,12664520,54.84,Sell
2024-04-04T00:00:00+05:30,425.55,427.35,419.9,422.75,18358410,51.98,Sell
2024-04-05T00:00:00+05:30,422.5,431.7,419.95,427.55,16147032,56.74,Sell
2024-04-08T00:00:00+05:30,428.3,431.4,427.75,429.1,8516632,58.19,Sell
2024-04-09T00:00:00+05:30,430.45,431.5,425.55,426.35,6708894,54.7,Sell
2024-04-10T00:00:00+05:30,428.3,437.8,425.75,436.95,14008124,63.72,Sell
2024-04-12T00:00:00+05:30,435.0,435.75,428.3,430.1,18088372,55.96,Sell
2024-04-15T00:00:00+05:30,428.0,429.15,422.9,425.9,8746243,51.8,Sell
2024-04-16T00:00:00+05:30,423.25,427.0,423.2,425.9,9973638,51.8,Sell
2024-04-18T00:00:00+05:30,426.0,426.9,417.65,418.85,21312388,45.25,Buy
2024-04-19T00:00:00+05:30,418.0,426.25,416.0,424.75,16582634,50.85,Sell
2024-04-22T00:00:00+05:30,427.0,427.6,423.35,425.3,7112139,51.35,Sell
2024-04-23T00:00:00+05:30,425.3,430.5,425.1,429.2,12021404,54.86,Sell
2024-04-24T00:00:00+05:30,429.25,430.8,428.3,428.9,5845170,54.53,Sell
2024-04-25T00:00:00+05:30,431.0,438.3,429.0,437.55,29211997,61.61,Sell
2024-04-26T00:00:00+05:30,439.25,443.3,436.4,440.0,14773975,63.35,Sell
2024-04-29T00:00:00+05:30,442.0,442.45,434.6,438.2,11627882,61.15,Sell
2024-04-30T00:00:00+05:30,439.95,440.5,435.1,435.65,12064043,58.09,Sell
2024-05-02T00:00:00+05:30,436.0,442.6,434.85,439.0,23228909,60.86,Sell
2024-05-03T00:00:00+05:30,440.05,440.05,431.35,436.45,22904276,57.73,Sell
2024-05-06T00:00:00+05:30,438.0,440.45,433.35,434.75,10355056,55.67,Sell
