date,open,high,low,close,volume,Ema,Ematwo,Signal
2023-10-17T00:00:00+05:30,203.55,209,202.6,207.15,19378328,204.48,197.74,Buy
2023-10-18T00:00:00+05:30,208.45,208.45,204,206.5,14923328,205.49,198.31,Buy
2023-10-19T00:00:00+05:30,204,207.4,202.2,205.8,13192888,205.65,198.79,Buy
2023-10-20T00:00:00+05:30,205.2,205.2,200.9,202.85,22081120,204.25,199.05,Buy
2023-10-23T00:00:00+05:30,202,205.15,199,199.75,6988219,202,199.1,Buy
2023-10-25T00:00:00+05:30,199,200.45,197.8,199.5,16817158,200.75,199.12,Buy
2023-10-26T00:00:00+05:30,198.75,200,196.3,198.95,11070090,199.85,199.11,Buy
2023-10-27T00:00:00+05:30,199.25,201.8,199.15,200.95,9995487,200.4,199.23,Buy
2023-10-30T00:00:00+05:30,200.95,202.2,197.65,200.85,7679981,200.62,199.34,Buy
2023-10-31T00:00:00+05:30,201.5,202.95,200.55,202.15,7474770,201.39,199.52,Buy
2023-11-01T00:00:00+05:30,202.35,202.35,200.5,200.95,5598615,201.17,199.61,Buy
2023-11-02T00:00:00+05:30,201.75,203.65,200.9,203.1,12924797,202.13,199.83,Buy
2023-11-03T00:00:00+05:30,203.4,206.5,203.1,204.4,8684015,203.27,200.13,Buy
2023-11-06T00:00:00+05:30,205,208.95,204.95,208.2,9804415,205.73,200.65,Buy
2023-11-07T00:00:00+05:30,208.2,209.1,205.75,208,10730361,206.87,201.12,Buy
2023-11-08T00:00:00+05:30,209,209.6,206.65,207,7435543,206.93,201.5,Buy
2023-11-09T00:00:00+05:30,207.3,210.5,206.1,209.8,13777877,208.37,202.04,Buy
2023-11-10T00:00:00+05:30,210.5,213,209.6,211.15,12066023,209.76,202.63,Buy
2023-11-12T00:00:00+05:30,213.6,213.7,211.7,212,1008214,210.88,203.23,Buy
2023-11-13T00:00:00+05:30,212,215.1,210.7,212.3,11352269,211.59,203.82,Buy
2023-11-15T00:00:00+05:30,215,215,209.8,210.15,19182861,210.87,204.22,Buy
2023-11-16T00:00:00+05:30,206.7,208.85,205.7,207.2,27533260,209.03,204.42,Buy
2023-11-17T00:00:00+05:30,207.7,210.7,206.9,209.5,16705395,209.27,204.74,Buy
2023-11-20T00:00:00+05:30,210.1,211.2,208.85,209.3,11156900,209.28,205.04,Buy
2023-11-21T00:00:00+05:30,210,210.15,207.95,208.95,9608081,209.12,205.29,Buy
2023-11-22T00:00:00+05:30,208.2,212.6,208.2,211.6,13079580,210.36,205.7,Buy
2023-11-23T00:00:00+05:30,212.05,213.1,209.25,210.9,11382709,210.63,206.03,Buy
2023-11-24T00:00:00+05:30,211.3,212.1,209.5,210.45,7250200,210.54,206.32,Buy
2023-11-28T00:00:00+05:30,214.45,214.45,209.5,210.2,15629209,210.37,206.57,Buy
2023-11-29T00:00:00+05:30,210.3,211.45,209.1,211.05,10062023,210.71,206.86,Buy
2023-11-30T00:00:00+05:30,210.4,212.8,208.25,208.95,60354322,209.83,206.99,Buy
2023-12-01T00:00:00+05:30,211.5,212.45,209.45,210.2,20719909,210.01,207.2,Buy
2023-12-04T00:00:00+05:30,211.7,214.1,211.7,212.9,27914088,211.46,207.57,Buy
2023-12-05T00:00:00+05:30,213.7,223.25,211.55,222.3,40709207,216.88,208.52,Buy
2023-12-06T00:00:00+05:30,226,226.25,222.5,224.4,29544730,220.64,209.54,Buy
2023-12-07T00:00:00+05:30,225,232.4,224.25,230,24534268,225.32,210.86,Buy
2023-12-08T00:00:00+05:30,231.8,233.4,226.45,228.6,22206320,226.96,212.01,Buy
2023-12-11T00:00:00+05:30,228,232.9,226.55,230.95,19106395,228.95,213.23,Buy
2023-12-12T00:00:00+05:30,230,233.3,229.5,231.35,14355329,230.15,214.4,Buy
2023-12-13T00:00:00+05:30,231,237.5,230.6,236.95,26878281,233.55,215.85,Buy
2023-12-14T00:00:00+05:30,237.25,237.6,231.1,232.1,29972018,232.83,216.9,Buy
2023-12-15T00:00:00+05:30,235,238.1,227.15,237.35,41341690,235.09,218.22,Buy
2023-12-18T00:00:00+05:30,236.9,236.9,231.45,231.85,29051897,233.47,219.1,Buy
2023-12-19T00:00:00+05:30,232.15,234.4,230.85,233.55,12612164,233.51,220.03,Buy
2023-12-20T00:00:00+05:30,234.95,235.4,226.2,227.15,20400245,230.33,220.49,Buy
2023-12-21T00:00:00+05:30,224.45,233.2,222.7,232.35,17755207,231.34,221.26,Buy
