date,open,high,low,close,volume,rsi,Signal
2024-09-25T10:25:00+05:30,791.9,792.4,791.75,792.0,61886,31.76,Hold
2024-09-25T10:30:00+05:30,792.0,792.0,790.1,790.9,233429,28.83,Buy
2024-09-25T10:35:00+05:30,790.95,791.0,790.05,790.35,116485,27.46,Buy
2024-09-25T10:40:00+05:30,790.35,791.7,790.25,791.35,106980,33.62,Hold
2024-09-25T10:45:00+05:30,791.35,792.5,791.0,792.2,165905,38.4,Hold
2024-09-25T10:50:00+05:30,792.2,793.5,792.15,792.5,180826,40.04,Hold
2024-09-25T10:55:00+05:30,792.45,794.0,792.0,792.85,201543,41.99,Hold
2024-09-25T11:00:00+05:30,792.9,794.15,792.9,793.55,347533,45.77,Hold
2024-09-25T11:05:00+05:30,793.55,794.05,792.4,793.0,250350,43.38,Hold
2024-09-25T11:10:00+05:30,793.0,793.0,791.8,792.2,61449,40.09,Hold
2024-09-25T11:15:00+05:30,792.05,792.5,791.65,792.0,99707,39.29,Hold
2024-09-25T11:20:00+05:30,792.0,792.45,791.75,792.05,67945,39.61,Hold
2024-09-25T11:25:00+05:30,792.0,792.75,791.95,792.2,58023,40.64,Hold
2024-09-25T11:30:00+05:30,792.25,792.9,791.8,792.75,235950,44.38,Hold
2024-09-25T11:35:00+05:30,792.75,794.05,792.35,793.25,554240,47.6,Hold
2024-09-25T11:40:00+05:30,793.2,794.0,793.0,793.7,530334,50.39,Hold
2024-09-25T11:45:00+05:30,793.8,794.05,793.1,793.55,162352,49.45,Hold
2024-09-25T11:50:00+05:30,793.55,793.7,793.2,793.3,101185,47.84,Hold
2024-09-25T11:55:00+05:30,793.25,793.7,793.0,793.5,98929,49.26,Hold
2024-09-25T12:00:00+05:30,793.5,793.65,792.5,792.55,100671,43.23,Hold
2024-09-25T12:05:00+05:30,792.55,792.8,792.15,792.75,74382,44.76,Hold
2024-09-25T12:10:00+05:30,792.7,792.95,792.5,792.8,78707,45.16,Hold
2024-09-25T12:15:00+05:30,792.9,793.3,792.5,793.25,159659,48.75,Hold
2024-09-25T12:20:00+05:30,793.25,793.4,790.2,791.0,496762,36.05,Hold
2024-09-25T12:25:00+05:30,791.0,792.4,790.65,791.05,314152,36.44,Hold
2024-09-25T12:30:00+05:30,791.1,792.1,791.05,792.0,104287,43.6,Hold
2024-09-25T12:35:00+05:30,791.95,792.25,789.85,790.0,1216190,34.74,Hold
2024-09-25T12:40:00+05:30,790.0,790.0,789.35,789.75,178830,33.81,Hold
2024-09-25T12:45:00+05:30,789.7,790.0,789.6,789.95,89267,35.29,Hold
2024-09-25T12:50:00+05:30,789.95,789.95,789.3,789.65,137167,34.06,Hold
2024-09-25T12:55:00+05:30,789.65,789.8,788.7,788.95,587126,31.31,Hold
2024-09-25T13:00:00+05:30,788.95,789.8,788.95,789.65,357566,36.81,Hold
2024-09-25T13:05:00+05:30,789.65,790.55,789.4,790.4,428842,42.15,Hold
2024-09-25T13:10:00+05:30,790.5,790.7,789.95,790.6,90847,43.52,Hold
2024-09-25T13:15:00+05:30,790.6,791.35,790.0,790.7,208269,44.23,Hold
2024-09-25T13:20:00+05:30,790.7,791.3,790.0,791.1,203646,47.1,Hold
2024-09-25T13:25:00+05:30,791.15,792.05,790.0,790.6,699696,44.05,Hold
2024-09-25T13:30:00+05:30,790.6,791.45,790.0,790.85,220993,45.94,Hold
2024-09-25T13:35:00+05:30,790.85,792.0,790.5,791.9,120109,53.09,Hold
2024-09-25T13:40:00+05:30,791.9,792.3,791.6,792.0,148611,53.72,Hold
2024-09-25T13:45:00+05:30,792.05,792.2,791.7,791.9,73533,52.95,Hold
2024-09-25T13:50:00+05:30,791.85,792.15,791.5,791.5,62700,49.9,Hold
2024-09-25T13:55:00+05:30,791.5,792.1,791.5,792.05,68997,53.84,Hold
2024-09-25T14:00:00+05:30,792.05,792.25,791.6,791.85,285483,52.23,Hold
2024-09-25T14:05:00+05:30,792.1,792.4,791.8,792.0,244111,53.36,Hold
2024-09-25T14:10:00+05:30,792.05,793.25,791.8,792.8,158945,58.92,Hold
2024-09-25T14:15:00+05:30,793.0,793.0,791.5,791.95,148451,51.85,Hold
2024-09-25T14:20:00+05:30,792.1,792.4,790.5,791.0,579362,45.3,Hold
2024-09-25T14:25:00+05:30,791.0,791.7,790.55,791.55,184836,49.29,Hold
2024-09-25T14:30:00+05:30,791.5,791.75,791.2,791.35,186871,47.92,Hold
2024-09-25T14:35:00+05:30,791.3,792.25,791.1,792.0,152958,52.54,Hold
2024-09-25T14:40:00+05:30,792.0,792.25,791.7,792.0,99855,52.54,Hold
2024-09-25T14:45:00+05:30,792.0,793.15,792.0,792.75,379129,57.57,Hold
2024-09-25T14:50:00+05:30,792.75,793.3,792.0,792.3,253403,53.88,Hold
2024-09-25T14:55:00+05:30,792.5,793.35,792.15,793.3,190433,60.02,Hold
2024-09-25T15:00:00+05:30,793.3,793.55,792.0,793.25,713383,59.59,Hold
2024-09-25T15:05:00+05:30,793.5,793.55,792.0,793.0,459511,57.39,Hold
2024-09-25T15:10:00+05:30,793.05,793.55,792.95,793.05,288073,57.73,Hold
2024-09-25T15:15:00+05:30,793.1,793.5,792.6,793.45,378028,60.42,Hold
2024-09-25T15:20:00+05:30,793.3,793.5,792.3,793.2,752370,57.94,Hold
2024-09-25T15:25:00+05:30,793.2,793.95,792.0,793.15,369976,57.43,Hold
