date,open,high,low,close,volume,rsi,Signal
2024-09-04T09:15:00+05:30,815.15,817.95,814.4,815.9,2697146,52.47,Hold
2024-09-04T10:15:00+05:30,815.8,817.45,815.0,816.25,1200405,52.96,Hold
2024-09-04T11:15:00+05:30,816.1,817.6,815.55,815.7,1116288,52.06,Hold
2024-09-04T12:15:00+05:30,815.6,817.0,815.55,816.4,585943,53.15,Hold
2024-09-04T13:15:00+05:30,816.4,817.4,815.8,817.2,1082966,54.43,Hold
2024-09-04T14:15:00+05:30,817.2,818.65,813.65,818.3,2973631,56.2,Hold
2024-09-04T15:15:00+05:30,818.3,818.5,816.1,816.25,1041646,52.13,Hold
2024-09-05T09:15:00+05:30,818.35,821.0,814.4,820.0,1816098,58.11,Hold
2024-09-05T10:15:00+05:30,820.0,821.0,818.0,820.0,967097,58.11,Hold
2024-09-05T11:15:00+05:30,820.15,821.65,819.0,821.5,607576,60.4,Hold
2024-09-05T12:15:00+05:30,821.5,821.95,819.95,821.15,747749,59.58,Hold
2024-09-05T13:15:00+05:30,821.15,822.15,819.7,819.9,1324966,56.63,Hold
2024-09-05T14:15:00+05:30,819.9,820.85,817.5,819.2,2388920,54.98,Hold
2024-09-05T15:15:00+05:30,819.05,819.3,818.0,818.0,434028,52.19,Hold
2024-09-06T09:15:00+05:30,811.5,812.9,794.8,797.35,8914564,26.85,Buy
2024-09-06T10:15:00+05:30,797.5,797.75,788.3,789.45,5747194,22.38,Buy
2024-09-06T11:15:00+05:30,789.45,791.5,786.25,789.9,5225043,23.16,Buy
2024-09-06T12:15:00+05:30,789.7,790.75,785.1,787.85,4445925,22.07,Buy
2024-09-06T13:15:00+05:30,787.65,790.2,786.55,788.1,3507481,22.55,Buy
2024-09-06T14:15:00+05:30,788.1,788.35,777.0,782.4,9436164,19.58,Buy
2024-09-06T15:15:00+05:30,782.25,784.75,782.1,783.9,2784196,22.47,Buy
2024-09-09T09:15:00+05:30,785.0,786.8,773.6,779.9,5417241,20.37,Buy
2024-09-09T10:15:00+05:30,779.9,784.0,778.5,779.7,2125311,20.27,Buy
